Pass Number,DEC 11-17 Scans
21,2
44,2
45,1
61,1
96,1
105,1
108,2
133,1
140,2
142,2
161,3
170,2
176,3
178,1
183,1
184,1
230,1
234,2
270,2
271,1
315,1
325,1
352,1
354,1
362,1
363,1
371,1
397,4
413,1
425,1
432,1
440,1
441,1
460,1
461,1
465,2
474,1
476,1
478,4
499,1
500,2
523,1
546,1
576,1
584,1
995,1
1039,1
1043,1
1088,1
1143,1
1174,1
1175,1
1177,1
1227,1
1238,1
1249,1
1274,1
1319,1
1339,1
1362,1
1363,1
1365,1
1389,2
1397,7
1398,1
1414,1
1415,1
1419,1
1498,2
1507,1
1528,2
1549,1
1606,1
1641,1
1690,1
1800,1
1862,1
1885,1
1902,2
1903,2
1912,1
1956,1
1985,1
1986,1
2020,2
2021,3
2036,1
2106,2
2144,1
2194,1
2226,2
2292,1
2335,2
2354,1
2364,1
2370,1
2421,1
2513,3
2518,1
2524,1
2553,2
2566,1
2574,1
2611,1
2618,2
2631,1
2668,1
2671,1
2672,1
2689,1
2690,2
2698,1
2788,1
2793,1
2794,1
2800,1
2801,1
2802,1
2806,1
2807,1
2839,1
2874,2
2923,1
2925,1
2936,1
2968,1
2985,3
3037,1
3088,1
3102,1
3103,1
3110,2
3115,1
3117,1
3119,1
3123,1
3183,1
3199,1
3217,1
3273,1
3448,1
3489,1
3543,1
3588,2
3596,1
3634,1
3668,1
3787,1
3815,1
3828,1
3830,1
3834,1
3907,1
3915,1
3916,1
3917,1
3918,1
3919,1
3927,1
3928,2
3929,1
3932,1
3934,2
4006,1
4007,1
4015,1
4018,1
4019,1
4311,1
4320,1
4335,1
4337,2
4345,2
4351,1
4355,1
4357,2
4370,1
4377,1
4380,1
4381,1
4436,1
4441,1
4454,3
4462,1
4484,2
4489,1
4520,1
4539,1
4584,1
4594,1
4615,1
4616,1
4617,1
4677,1
4680,1
4696,1
4700,1
4701,1
4720,1
4739,1
4742,1
4759,2
4762,1
4763,1
4770,1
4791,1
4812,4
4824,1
4841,4
4860,1
4884,1
4899,1
4904,1
4906,1
4936,1
4996,2
4999,1
5009,2
5017,1
5043,2
5044,1
5045,1
5046,1
5062,2
5064,1
5067,2
5074,2
5075,2
5076,1
5102,1
5103,1
5107,1
5108,1
5109,1
5110,1
5113,2
5114,1
5115,1
5117,1
5118,1
5127,2
5145,1
5146,1
5147,1
5148,1
5291,1
5292,2
5320,2
5326,1
5331,1
5337,1
5339,1
5344,3
5354,1
5359,1
5370,3
5374,1
5376,1
5382,1
5389,1
5396,1
5400,1
5401,1
5409,1
5410,1
5420,1
5421,1
5450,1
5463,1
5484,1
5486,2
5487,2
5491,1
5495,2
5500,1
5501,1
5512,1
5513,1
5528,1
5551,1
5552,1
5576,1
5590,1
5597,1
5598,3
5601,1
5620,1
5630,1
5631,1
5632,1
5633,1
5634,1
5653,1
5655,1
5662,1
5682,1
5684,1
5687,1
5799,1
5800,2
